#Procedure: <__main__.LaserProcedure>
#Parameters:
#	Acquisition mode: Multi frame
#	Camera acquisition time: 1 s
#	Camera exposure time: 4 us
#	Frame rate: 200 Hz
#	Gain: 0 dB
#	Emission Time: 0.5 s
#	Laser power setpoint: 90 %
#	Measurement Time: 10 s
#	Sample Name: R4N64_7p5R_ROW261
#Data:
Measurement Time (s),Pressure (Torr),TC1 (C),TC2 (C),Trigger (V),Laser output power (W),Laser output peak power (W)
0.0,0.0,23.25,23.25,0.0,0.0,0.0
0.004999999942750916,0.0,23.25,23.25,0.0,0.0,0.0
0.009999999885501832,0.0,23.25,23.25,0.0,0.0,0.0
0.014999999828252748,0.0,23.25,23.25,0.0,0.0,0.0
0.019999999771003665,0.0,23.25,23.25,0.0,0.0,0.0
0.02499999971375458,0.0,23.25,23.25,0.0,0.0,0.0
0.029999999656505495,0.0,23.25,23.25,0.0,0.0,0.0
0.03499999959925641,0.0,23.25,23.25,0.0,0.0,0.0
0.03999999954200733,0.0,23.25,23.25,0.0,0.0,0.0
0.044999999484758246,0.0,23.25,23.25,0.0,0.0,0.0
0.04999999942750916,0.0,23.25,23.25,0.0,0.0,0.0
0.05499999937026008,0.0,23.25,23.25,0.0,0.0,0.0
0.05999999931301099,0.0,23.25,23.25,0.0,0.0,0.0
0.06499999925576191,0.0,23.25,23.25,0.0,0.0,0.0
0.06999999919851282,0.0,23.25,23.25,0.0,0.0,0.0
0.07499999914126375,0.0,23.25,23.25,0.0,0.0,0.0
0.07999999908401466,0.0,23.25,23.25,0.0,0.0,0.0
0.08499999902676557,0.0,23.25,23.25,0.0,0.0,0.0
0.08999999896951649,0.0,23.49999977025799,23.25,0.0,0.0,0.0
0.0949999989122674,0.0,23.5,23.25,0.0,0.0,0.0
0.09999999885501833,0.0,23.5,23.25,0.0,0.0,0.0
0.10499999879776924,0.0,23.5,23.25,0.0,0.0,0.0
0.10999999874052016,0.0,23.5,23.25,0.0,0.0,0.0
0.11499999868327107,0.0,23.5,23.25,0.0,0.0,0.0
0.11999999862602198,0.0,23.5,23.25,0.0,0.0,0.0
0.1249999985687729,0.0,23.5,23.25,0.0,0.0,0.0
0.12999999851152383,0.0,23.5,23.25,0.0,0.0,0.0
0.13499999845427474,0.0,23.5,23.25,0.0,0.0,0.0
0.13999999839702565,0.0,23.5,23.25,0.0,0.0,0.0
0.14499999833977656,0.0,23.5,23.25,0.0,0.0,0.0
0.1499999982825275,0.0,23.5,23.25,0.0,0.0,0.0
0.1549999982252784,0.0,23.5,23.25,0.0,0.0,0.0
0.15999999816802932,0.0,23.5,23.25,0.0,0.0,0.0
0.16499999811078023,0.0,23.5,23.25,0.0,0.0,0.0
0.16999999805353114,0.0,23.5,23.25,0.0,0.0,0.0
0.17499999799628208,0.0,23.5,23.25,0.0,0.0,0.0
0.17999999793903299,0.0,23.5,23.25,0.0,0.0,0.0
0.1849999978817839,0.0,23.5,23.25,0.0,0.0,0.0
0.1899999978245348,0.0,23.5,23.25,0.0,0.0,0.0
0.19499999776728574,0.0,23.5,23.25,0.0,0.0,0.0
0.19999999771003665,0.0,23.5,23.25,0.0,0.0,0.0
0.20499999765278756,0.0,23.5,23.25,0.0,0.0,0.0
0.20999999759553847,0.0,23.5,23.25,0.0,0.0,0.0
0.21499999753828938,0.0,23.5,23.25,0.0,0.0,0.0
0.21999999748104032,0.0,23.5,23.25,0.0,0.0,0.0
0.22499999742379123,0.0,23.5,23.25,0.0,0.0,0.0
0.22999999736654214,0.0,23.5,23.25,0.0,0.0,0.0
0.23499999730929305,0.0,23.250000095196622,23.25,0.0,0.0,0.0
0.23999999725204396,0.0,23.25,23.25,0.0,0.0,0.0
0.2449999971947949,0.0,23.25,23.25,0.0,0.0,0.0
0.2499999971375458,0.0,23.25,23.25,0.0,0.0,0.0
0.25499999708029675,0.0,23.25,23.25,0.0,0.0,0.0
0.25999999702304766,0.0,23.25,23.25,0.0,0.0,0.0
0.26499999696579857,0.0,23.25,23.25,0.0,0.0,0.0
0.2699999969085495,0.0,23.25,23.25,0.0,0.0,0.0
0.2749999968513004,0.0,23.25,23.25,0.0,0.0,0.0
0.2799999967940513,0.0,23.25,23.25,0.0,0.0,0.0
0.2849999967368022,0.0,23.25,23.25,0.0,0.0,0.0
0.2899999966795531,0.0,23.25,23.25,0.0,0.0,0.0
0.29499999662230403,0.0,23.25,23.25,0.0,0.0,0.0
0.299999996565055,0.0,23.25,23.25,0.0,0.0,0.0
0.3049999965078059,0.0,23.25,23.25,0.0,0.0,0.0
