#Procedure: <__main__.ExtrusionProcedure>
#Parameters:
#	Displacement: 10 in
#	Is baseline?: False
#	Ku: 5
#	Load cell error %: 9.8 %
#	Load cell range: 32 kg
#	Temperature stabilization time: 60 s
#	Ramping rate: 60 C/min
#	Sample name: XTBC003
#	Extruder speed: 0.508
#	Start position: 16 in
#	Setpoint temperature: 350 C
#	Tu: 32
#Data:
Time (s),Position (cm),Position (in),Force (N),Force error (N),Temperature (C)
0.0,40.64,16.0,0.07,0.007,361.67
0.446,40.64,16.0,-2.16,-0.212,361.5
0.789,40.87,16.1,-2.59,-0.254,361.0
1.295,41.04,16.2,-2.37,-0.232,360.08
1.472,41.3,16.3,-2.2,-0.215,360.33
2.144,41.39,16.3,-2.35,-0.23,360.5
2.824,41.73,16.4,-2.86,-0.28,359.67
3.34,42.07,16.6,-2.69,-0.264,360.08
3.545,42.34,16.7,-2.85,-0.279,360.33
4.173,42.44,16.7,-2.81,-0.276,359.08
4.857,42.76,16.8,-3.06,-0.3,359.58
5.209,43.11,17.0,-2.81,-0.275,359.58
5.531,43.29,17.0,-3.17,-0.311,358.92
5.883,43.45,17.1,-3.09,-0.303,358.17
6.216,43.63,17.2,-2.88,-0.283,358.58
6.616,43.8,17.2,-3.33,-0.326,359.08
7.027,44.0,17.3,-3.13,-0.307,358.92
7.23,44.21,17.4,-3.02,-0.296,358.08
7.912,44.31,17.4,-2.9,-0.284,358.08
8.256,44.66,17.6,-3.06,-0.3,358.58
8.583,44.83,17.7,-3.32,-0.325,358.25
8.925,45.0,17.7,-2.63,-0.258,357.42
9.265,45.17,17.8,-3.17,-0.311,357.0
9.606,45.35,17.9,-3.23,-0.316,357.67
9.946,45.52,17.9,-2.27,-0.223,358.08
10.284,45.69,18.0,-2.95,-0.289,357.67
10.625,45.86,18.1,-2.32,-0.228,356.83
10.965,46.04,18.1,-1.63,-0.159,356.67
11.306,46.21,18.2,-2.09,-0.204,357.33
11.738,46.38,18.3,-1.35,-0.132,357.25
12.147,46.6,18.3,-1.2,-0.118,356.67
12.352,46.81,18.4,-1.84,-0.181,355.92
12.998,46.91,18.5,-0.91,-0.089,357.0
